AId,ANo,BId,GId
182919,944492,624506,0
183294,946272,538778,0
183863,1161849,497594,1004
183965,1162283,498022,1437
184079,10124854,311346,3
184391,8127010,428700,5
184397,8137555,578259,72
184460,8217475,316303,2
185190,653177,428093,0
185348,654422,264862,0
185458,655313,623837,0
185786,660104,538352,0
185862,660731,221470,0
186067,216944,389689,30
186184,523650,54760,23
186241,1228765,111475,43
186306,648341,167087,4
186495,450293,729828,3
186511,451565,625062,2
186949,373793,349800,5
187048,523705,54794,57
187227,696777,596217,1
187462,8838770,696347,1553
188225,1064009,616367,2114
188259,1064277,616634,2381
188647,1063451,615810,1557
188811,1064787,617144,2891
188816,1064828,617185,2932
188981,456486,33915,5
189010,664040,763915,2
189052,553879,25123,3
189122,647985,139794,15
189413,7158379,329286,52
189621,1063332,615691,1438
189841,1065104,617461,3208
190338,893569,149751,0
190377,893867,589243,1
190390,893969,166823,0
190587,946245,624576,0
190762,1161444,497190,599
190810,1161812,497558,967
191053,653396,95889,0
191527,1066264,618621,4368
192121,1066874,619231,4978
192205,7157173,620421,6168
192512,659229,429896,0
192576,659730,738764,0
192697,660702,281404,0
193310,894642,321748,4
193421,944946,270837,0
193546,7152446,498397,1814
193907,1164291,499968,3397
194102,1162177,497916,1331
194158,7146077,498139,1554
194163,7151711,498169,1585
194482,1163760,499465,2893
194578,1164267,499945,3374
194738,1165246,500893,4328
194761,1165328,500972,4410
195034,7148967,502089,5545
195042,1166564,502134,5593
195086,7150882,502301,5762
195622,1165338,500981,4420
196195,7148123,503289,6767
196469,1168914,504383,7878
196879,1054452,586501,2
196949,8838450,696036,1242
196995,8838843,696416,1622
197009,8838952,696524,1730
197014,8838982,696557,1763
197607,1066014,618371,4118
197650,1066343,618700,4447
197651,1066348,618705,4452
197867,1130860,360705,2
197874,1154792,578081,31
198255,7145794,505493,9045
198276,1170182,505581,9142
198327,7145517,505764,9338
198719,1066270,618627,4374
198749,1066504,618861,4608
198814,1067006,619363,5110
199128,1169097,504564,8061
199264,1169658,505111,8622
199309,1169858,505298,8818
